model	fold	feature	importance	clr
logreg	0	Goblet cells SPINK4	0.5536507094471517	True
logreg	0	Endothelial cells DARC	0.5528548202001451	True
logreg	0	T cells CD8	0.5454025365513678	True
logreg	0	NK cells KLRF1 CD3G-	0.4997289943704255	True
logreg	0	Tuft cells	0.43971097976054513	True
logreg	0	DC1	0.41659977679619803	True
logreg	0	T cells CD4 FOSB	0.4030967890992438	True
logreg	0	Monocytes S100A8 S100A9	0.3474416660286572	True
logreg	0	Fibroblasts SFRP2 SLPI	0.336653819786177	True
logreg	0	Lymphatics	0.3104207966035576	True
logreg	0	T cells Naive CD4	0.29484795811394277	True
logreg	0	Endothelial cells CA4 CD36	0.2923858270831296	True
logreg	0	B cells	0.2895003290351867	True
logreg	0	Enterochromaffin cells	0.289196068498618	True
logreg	0	Macrophages CCL3 CCL4	0.26489391722189026	True
logreg	0	Fibroblasts SMOC2 PTGIS	0.2592559670029973	True
logreg	0	Pericytes RERGL NTRK2	0.2568803811768631	True
logreg	0	T cells OGT	0.24912436108648298	True
logreg	0	Paneth cells	0.2478877991997833	True
logreg	0	Endothelial cells CD36	0.24551571424322527	True
logreg	0	Fibroblasts KCNN3 LY6H	0.2433193949893103	True
logreg	0	ILCs	0.2242439866263759	True
logreg	0	Goblet cells MUC2 TFF1	0.2177968843822777	True
logreg	0	Pericytes HIGD1B STEAP4	0.20442953817037468	True
logreg	0	DC2 CD1D	0.20250593728467542	True
logreg	0	Cycling cells	0.20046406769788172	True
logreg	0	Goblet cells MUC2 TFF1-	0.18251515169788005	True
logreg	0	Enterocytes TMIGD1 MEP1A GSTA1	0.18107803967250755	True
logreg	0	Myofibroblasts HHIP NPNT	0.17313564160261902	True
logreg	0	Epithelial cells METTL12 MAFB	0.17167568844897	True
logreg	0	L cells	0.15487675862585012	True
logreg	0	Plasma cells	0.1468209198963471	True
logreg	0	Enterocytes TMIGD1 MEP1A	0.14587062946708185	True
logreg	0	T cells CD4 IL17A	0.13009069563200246	True
logreg	0	Fibroblasts NPY SLITRK6	0.12094487980913075	True
logreg	0	Mature DCs	0.11793519718758035	True
logreg	0	Mast cells	0.11759299339464198	True
logreg	0	Monocytes CHI3L1 CYP27A1	0.11476524845573213	True
logreg	0	Endothelial cells LTC4S SEMA3G	0.1042053744699966	True
logreg	0	Stem cells OLFM4 GSTA1	0.09892658868588462	True
logreg	0	T cells CD8 KLRG1	0.08625999868013666	True
logreg	0	Stem cells OLFM4	0.08295918216822892	True
logreg	0	Enterocytes BEST4	0.08242608801434513	True
logreg	0	Macrophages LYVE1	0.08117902708681014	True
logreg	0	Glial cells	0.07573247456257295	True
logreg	0	Stem cells OLFM4 LGR5	0.07112283700339041	True
logreg	0	DC2 CD1D-	0.06718405822394384	True
logreg	0	Macrophages	0.06699089550851743	True
logreg	0	Epithelial Cycling cells	0.05797360367815869	True
logreg	0	Neutrophils S100A8 S100A9	0.05590815231262554	True
linear_svm	0	Endothelial cells DARC	0.2510607628807088	True
linear_svm	0	Goblet cells SPINK4	0.23068817529393476	True
linear_svm	0	T cells CD8	0.20197745823846794	True
linear_svm	0	NK cells KLRF1 CD3G-	0.18821869763549415	True
linear_svm	0	DC1	0.15176428978986528	True
linear_svm	0	Tuft cells	0.13307782986946798	True
linear_svm	0	Fibroblasts SFRP2 SLPI	0.12886851772236843	True
linear_svm	0	Lymphatics	0.12505674208548961	True
linear_svm	0	T cells CD4 FOSB	0.123569056155316	True
linear_svm	0	Monocytes S100A8 S100A9	0.12177747324001335	True
linear_svm	0	Enterochromaffin cells	0.10547158924436834	True
linear_svm	0	Endothelial cells CA4 CD36	0.10247811786285796	True
linear_svm	0	Macrophages CCL3 CCL4	0.09971227305590748	True
linear_svm	0	Endothelial cells CD36	0.09923820690900739	True
linear_svm	0	Cycling cells	0.095308577001745	True
linear_svm	0	Paneth cells	0.09049014983101952	True
linear_svm	0	T cells Naive CD4	0.09000945625602043	True
linear_svm	0	Goblet cells MUC2 TFF1	0.0894584846412809	True
linear_svm	0	B cells	0.08716793060103996	True
linear_svm	0	Fibroblasts SMOC2 PTGIS	0.08214251096533458	True
linear_svm	0	L cells	0.07344180091139577	True
linear_svm	0	Fibroblasts KCNN3 LY6H	0.07326710102435566	True
linear_svm	0	Endothelial cells LTC4S SEMA3G	0.07241094780865909	True
linear_svm	0	T cells OGT	0.07077851996515971	True
linear_svm	0	Pericytes RERGL NTRK2	0.06751524633367521	True
linear_svm	0	ILCs	0.06461128938073835	True
linear_svm	0	Enterocytes TMIGD1 MEP1A	0.06351013682021037	True
linear_svm	0	Epithelial cells METTL12 MAFB	0.05700872101916136	True
linear_svm	0	Myofibroblasts HHIP NPNT	0.05077885445358699	True
linear_svm	0	Stem cells OLFM4 LGR5	0.04866227096060516	True
linear_svm	0	Pericytes HIGD1B STEAP4	0.04842646616981641	True
linear_svm	0	Macrophages LYVE1	0.046658462204269086	True
linear_svm	0	Goblet cells MUC2 TFF1-	0.04466290181888981	True
linear_svm	0	DC2 CD1D	0.04405811458008205	True
linear_svm	0	Stem cells OLFM4 GSTA1	0.04076564999381166	True
linear_svm	0	Enterocytes TMIGD1 MEP1A GSTA1	0.0403529042822527	True
linear_svm	0	Mast cells	0.04029007222026616	True
linear_svm	0	DC2 CD1D-	0.039065242759647206	True
linear_svm	0	Glial cells	0.03841332045360547	True
linear_svm	0	Macrophages	0.036286239596288586	True
linear_svm	0	Enterocytes BEST4	0.03452127020353752	True
linear_svm	0	IELs ID3 ENTPD1	0.029828830688679878	True
linear_svm	0	T cells CD8 KLRG1	0.027327241126502266	True
linear_svm	0	Fibroblasts NPY SLITRK6	0.02576181323322506	True
linear_svm	0	Fibroblasts ADAMDEC1	0.024958576619785403	True
linear_svm	0	B cells AICDA LRMP	0.023827093673719893	True
linear_svm	0	Stem cells OLFM4 PCNA	0.022787974074083155	True
linear_svm	0	Stem cells OLFM4	0.022275746526366567	True
linear_svm	0	T cells CD4 IL17A	0.02110078988883346	True
linear_svm	0	Myofibroblasts GREM1 GREM2	0.017773278395906197	True
xgb	0	Enterochromaffin cells	0.171015664935112	True
xgb	0	Tuft cells	0.13002736866474152	True
xgb	0	DC1	0.08639708161354065	True
xgb	0	T cells CD8	0.07098894566297531	True
xgb	0	Goblet cells MUC2 TFF1	0.06652521342039108	True
xgb	0	T cells CD4 FOSB	0.05377358943223953	True
xgb	0	Monocytes S100A8 S100A9	0.05311797559261322	True
xgb	0	Goblet cells MUC2 TFF1-	0.0469595342874527	True
xgb	0	T cells Naive CD4	0.0442916601896286	True
xgb	0	Cycling cells	0.04322011023759842	True
xgb	0	Fibroblasts SMOC2 PTGIS	0.03555137291550636	True
xgb	0	Goblet cells SPINK4	0.031558968126773834	True
xgb	0	Activated fibroblasts CCL19 ADAMADEC1	0.02778645232319832	True
xgb	0	Macrophages CCL3 CCL4	0.023761576041579247	True
xgb	0	B cells	0.022798677906394005	True
xgb	0	Monocytes CHI3L1 CYP27A1	0.018179932609200478	True
xgb	0	Endothelial cells CD36	0.012946290895342827	True
xgb	0	Fibroblasts NPY SLITRK6	0.011331493966281414	True
xgb	0	Myofibroblasts GREM1 GREM2	0.01104753464460373	True
xgb	0	Epithelial Cycling cells	0.010610812343657017	True
xgb	0	IELs ID3 ENTPD1	0.009087172336876392	True
xgb	0	NK cells KLRF1 CD3G-	0.004805960226804018	True
xgb	0	B cells AICDA LRMP	0.0047442056238651276	True
xgb	0	Epithelial cells METTL12 MAFB	0.0038247951306402683	True
xgb	0	Macrophages	0.0028170195873826742	True
xgb	0	ILCs	0.0023006608244031668	True
xgb	0	Pericytes HIGD1B STEAP4	0.000529878365341574	True
xgb	0	Enterocytes TMIGD1 MEP1A	0.0	True
xgb	0	Endothelial cells DARC	0.0	True
xgb	0	DC2 CD1D	0.0	True
xgb	0	Enterocytes BEST4	0.0	True
xgb	0	Endothelial cells LTC4S SEMA3G	0.0	True
xgb	0	Lymphatics	0.0	True
xgb	0	L cells	0.0	True
xgb	0	Fibroblasts SFRP2 SLPI	0.0	True
xgb	0	Epithelial HBB HBA	0.0	True
xgb	0	Fibroblasts KCNN3 LY6H	0.0	True
xgb	0	Fibroblasts ADAMDEC1	0.0	True
xgb	0	Glial cells	0.0	True
xgb	0	Enterocytes TMIGD1 MEP1A GSTA1	0.0	True
xgb	0	Endothelial cells CA4 CD36	0.0	True
xgb	0	DC2 CD1D-	0.0	True
xgb	0	Mast cells	0.0	True
xgb	0	Macrophages PLA2G2D	0.0	True
xgb	0	Monocytes HBB	0.0	True
xgb	0	Mature DCs	0.0	True
xgb	0	Macrophages LYVE1	0.0	True
xgb	0	Macrophages CXCL9 CXCL10	0.0	True
xgb	0	Pericytes RERGL NTRK2	0.0	True
xgb	0	Paneth cells	0.0	True
elasticnet	0	Endothelial cells DARC	0.8092752394656261	True
elasticnet	0	T cells CD8	0.7408733954131523	True
elasticnet	0	Goblet cells SPINK4	0.67314761365535	True
elasticnet	0	Tuft cells	0.6392238760730647	True
elasticnet	0	DC1	0.5443677474620227	True
elasticnet	0	NK cells KLRF1 CD3G-	0.477676469231873	True
elasticnet	0	T cells CD4 FOSB	0.3647106406128327	True
elasticnet	0	Fibroblasts SFRP2 SLPI	0.3387568500187513	True
elasticnet	0	Monocytes S100A8 S100A9	0.3070900823290324	True
elasticnet	0	Fibroblasts SMOC2 PTGIS	0.2568030300496109	True
elasticnet	0	B cells	0.21128786528363774	True
elasticnet	0	Macrophages CCL3 CCL4	0.1911519806480749	True
elasticnet	0	Endothelial cells CA4 CD36	0.15964675945767082	True
elasticnet	0	Pericytes RERGL NTRK2	0.1378220374708675	True
elasticnet	0	Fibroblasts KCNN3 LY6H	0.13711077814591366	True
elasticnet	0	Enterochromaffin cells	0.12942831828240525	True
elasticnet	0	Plasma cells	0.07873527711666585	True
elasticnet	0	DC2 CD1D	0.0688997047787643	True
elasticnet	0	T cells Naive CD4	0.04905329669660938	True
elasticnet	0	T cells OGT	0.04340751279164067	True
elasticnet	0	Myofibroblasts HHIP NPNT	0.03890143528297084	True
elasticnet	0	Endothelial cells CD36	0.03597221163482803	True
elasticnet	0	Lymphatics	0.03117107170371599	True
elasticnet	0	Enterocytes TMIGD1 MEP1A GSTA1	0.00705639139073056	True
elasticnet	0	Epithelial Cycling cells	0.0	True
elasticnet	0	Enterocytes TMIGD1 MEP1A	0.0	True
elasticnet	0	Enterocytes BEST4	0.0	True
elasticnet	0	Endothelial cells LTC4S SEMA3G	0.0	True
elasticnet	0	Cycling cells	0.0	True
elasticnet	0	DC2 CD1D-	0.0	True
elasticnet	0	B cells AICDA LRMP	0.0	True
elasticnet	0	Activated fibroblasts CCL19 ADAMADEC1	0.0	True
elasticnet	0	Macrophages	0.0	True
elasticnet	0	L cells	0.0	True
elasticnet	0	ILCs	0.0	True
elasticnet	0	IELs ID3 ENTPD1	0.0	True
elasticnet	0	Goblet cells MUC2 TFF1	0.0	True
elasticnet	0	Goblet cells MUC2 TFF1-	0.0	True
elasticnet	0	Fibroblasts NPY SLITRK6	0.0	True
elasticnet	0	Glial cells	0.0	True
elasticnet	0	Epithelial HBB HBA	0.0	True
elasticnet	0	Fibroblasts ADAMDEC1	0.0	True
elasticnet	0	Epithelial cells METTL12 MAFB	0.0	True
elasticnet	0	Monocytes CHI3L1 CYP27A1	0.0	True
elasticnet	0	Monocytes HBB	0.0	True
elasticnet	0	Macrophages CXCL9 CXCL10	0.0	True
elasticnet	0	Macrophages LYVE1	0.0	True
elasticnet	0	Macrophages PLA2G2D	0.0	True
elasticnet	0	Pericytes HIGD1B STEAP4	0.0	True
elasticnet	0	Paneth cells	0.0	True
catboost	0	Tuft cells	29.404466950915932	True
