model	fold	n_train	n_test	n_features	clr	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
logreg	0	33	9	61	True	0.888888888888889	0.8666666666666667	0.6666666666666666	0.6493506493506493	0.012208700180053711
linear_svm	0	33	9	61	True	0.888888888888889	0.8666666666666667	0.6666666666666666	0.6493506493506493	0.009295940399169922
xgb	0	33	9	61	True	1.0	1.0	1.0	1.0	0.08753800392150879
elasticnet	0	33	9	61	True	0.888888888888889	0.8666666666666667	0.75	0.75	0.019124984741210938
catboost	0	33	9	61	True	1.0	1.0	1.0	1.0	0.24717354774475098
logreg	1	33	9	61	True	0.9444444444444444	0.9166666666666665	0.75	0.75	0.014286518096923828
linear_svm	1	33	9	61	True	0.9444444444444444	0.9166666666666665	0.8333333333333333	0.8615384615384616	0.009299278259277344
xgb	1	33	9	61	True	1.0	1.0	0.8333333333333333	0.8615384615384616	0.028113842010498047
elasticnet	1	33	9	61	True	1.0	1.0	0.8333333333333333	0.8615384615384616	0.025549650192260742
catboost	1	33	9	61	True	1.0	1.0	1.0	1.0	0.20979571342468262
logreg	2	34	8	61	True	0.6666666666666667	0.6666666666666666	0.75	0.7948717948717949	0.010490655899047852
linear_svm	2	34	8	61	True	0.8333333333333334	0.75	0.6666666666666667	0.6666666666666667	0.009053945541381836
xgb	2	34	8	61	True	0.6666666666666667	0.6666666666666666	0.75	0.7948717948717949	0.028614521026611328
elasticnet	2	34	8	61	True	0.5833333333333333	0.6428571428571428	0.75	0.7948717948717949	0.02350759506225586
catboost	2	34	8	61	True	1.0	1.0	0.75	0.7948717948717949	0.20891356468200684
logreg	3	34	8	61	True	1.0	1.0	0.75	0.7948717948717949	0.010274410247802734
linear_svm	3	34	8	61	True	0.9166666666666667	0.8333333333333333	0.75	0.7948717948717949	0.009500503540039062
xgb	3	34	8	61	True	0.8333333333333334	0.5833333333333333	0.9166666666666667	0.8545454545454545	0.027678489685058594
elasticnet	3	34	8	61	True	1.0	1.0	1.0	1.0	0.026269197463989258
catboost	3	34	8	61	True	0.8333333333333334	0.75	0.75	0.7948717948717949	0.21677732467651367
logreg	4	34	8	61	True	1.0	1.0	1.0	1.0	0.010174274444580078
linear_svm	4	34	8	61	True	1.0	1.0	1.0	1.0	0.009011268615722656
xgb	4	34	8	61	True	1.0	1.0	1.0	1.0	0.06248044967651367
elasticnet	4	34	8	61	True	1.0	1.0	1.0	1.0	0.02213907241821289
catboost	4	34	8	61	True	1.0	1.0	1.0	1.0	0.18897557258605957
