model	fold	feature	importance	clr
logreg	0	Monocytes S100A8 S100A9	0.7859657498398849	True
logreg	0	NK cells KLRF1 CD3G-	0.6762081997972138	True
logreg	0	Stromal Cycling cells	0.5598910153866395	True
logreg	0	Goblet cells SPINK4	0.5429571904807949	True
logreg	0	Tuft cells	0.5337373594757444	True
logreg	0	Macrophages Metallothionein	0.4887447170713705	True
logreg	0	Enterochromaffin cells	0.47902997201766956	True
logreg	0	Endothelial cells DARC	0.46588894028963673	True
logreg	0	T cells CD8	0.43148593436432253	True
logreg	0	Fibroblasts SFRP2 SLPI	0.4283456964918022	True
logreg	0	Pericytes HIGD1B STEAP4	0.4225543654422074	True
logreg	0	Endothelial cells CA4 CD36	0.4073480236127106	True
logreg	0	DC1	0.4044304540827194	True
logreg	0	Macrophages CXCL9 CXCL10	0.3906316164537195	True
logreg	0	Enterocytes BEST4	0.3905526043051042	True
logreg	0	Epithelial HBB HBA	0.37197570879136144	True
logreg	0	Goblet cells MUC2 TFF1	0.3573417924850699	True
logreg	0	Paneth cells	0.34937671016330396	True
logreg	0	DC2 CD1D	0.3398699374351502	True
logreg	0	Epithelial cells METTL12 MAFB	0.33395465113051864	True
logreg	0	Macrophages LYVE1	0.3326250842093329	True
logreg	0	Macrophages PLA2G2D	0.3299838803033161	True
logreg	0	Glial cells	0.3269467300691228	True
logreg	0	ILCs	0.32571467823201405	True
logreg	0	Fibroblasts NPY SLITRK6	0.3250066471356193	True
logreg	0	DC2 CD1D-	0.31638409930631933	True
logreg	0	Monocytes CHI3L1 CYP27A1	0.31315926174034664	True
logreg	0	Plasma cells	0.30382398926691884	True
logreg	0	Goblet cells MUC2 TFF1-	0.2743561292120923	True
logreg	0	Neutrophils S100A8 S100A9	0.2632015196582169	True
logreg	0	Tregs	0.24817039321523823	True
logreg	0	Cycling cells	0.22255788369092397	True
logreg	0	Endothelial cells CD36	0.2138295052060412	True
logreg	0	Endothelial cells LTC4S SEMA3G	0.21275383603468143	True
logreg	0	Inflammatory fibroblasts IL11 CHI3L1	0.20725929399374002	True
logreg	0	Enteroendocrine cells	0.2022880196467486	True
logreg	0	T cells CD4 FOSB	0.20147950700694822	True
logreg	0	Macrophages CCL3 CCL4	0.20140456182146443	True
logreg	0	Activated fibroblasts CCL19 ADAMADEC1	0.19272577467915333	True
logreg	0	Mature DCs	0.18867700505222973	True
logreg	0	T cells Naive CD4	0.18593612311672048	True
logreg	0	Pericytes RERGL NTRK2	0.1836133445539006	True
logreg	0	Myofibroblasts GREM1 GREM2	0.17436444199129866	True
logreg	0	B cells	0.1711555573816955	True
logreg	0	Fibroblasts ADAMDEC1	0.1691925747001117	True
logreg	0	L cells	0.16741868358474016	True
logreg	0	Lymphatics	0.16664962371989347	True
logreg	0	Stem cells OLFM4 PCNA	0.16384938752116135	True
logreg	0	Fibroblasts KCNN3 LY6H	0.15832228828531875	True
logreg	0	IELs ID3 ENTPD1	0.15539683783045485	True
linear_svm	0	NK cells KLRF1 CD3G-	0.3551047145619811	True
linear_svm	0	Monocytes S100A8 S100A9	0.27157968108363867	True
linear_svm	0	Stromal Cycling cells	0.24964168878357848	True
linear_svm	0	T cells CD8	0.22932289493947527	True
linear_svm	0	Macrophages Metallothionein	0.2221961769718858	True
linear_svm	0	Macrophages CXCL9 CXCL10	0.2169816464186834	True
linear_svm	0	Goblet cells MUC2 TFF1	0.21340778694526144	True
linear_svm	0	Epithelial cells METTL12 MAFB	0.21127366496139757	True
linear_svm	0	Plasma cells	0.2049003139662503	True
linear_svm	0	Fibroblasts SFRP2 SLPI	0.20067018762453023	True
linear_svm	0	Endothelial cells CA4 CD36	0.19841904664621185	True
linear_svm	0	Goblet cells SPINK4	0.19634948802801255	True
linear_svm	0	DC1	0.19557946033695692	True
linear_svm	0	Enterochromaffin cells	0.19465871975250257	True
linear_svm	0	Paneth cells	0.18753140754831288	True
linear_svm	0	DC2 CD1D	0.18335797502972745	True
linear_svm	0	Tuft cells	0.17559710412878118	True
linear_svm	0	Enterocytes BEST4	0.17077401179132312	True
linear_svm	0	DC2 CD1D-	0.16001488701804223	True
linear_svm	0	Epithelial HBB HBA	0.1543887557479166	True
linear_svm	0	Endothelial cells DARC	0.15264274336348155	True
linear_svm	0	Fibroblasts NPY SLITRK6	0.14926196953479448	True
linear_svm	0	Glial cells	0.1375562669506509	True
linear_svm	0	Pericytes HIGD1B STEAP4	0.13574350155712583	True
linear_svm	0	Neutrophils S100A8 S100A9	0.12957713873772797	True
linear_svm	0	Inflammatory fibroblasts IL11 CHI3L1	0.1292131283124001	True
linear_svm	0	Macrophages CCL3 CCL4	0.1265727418773967	True
linear_svm	0	Monocytes CHI3L1 CYP27A1	0.11979868084294171	True
linear_svm	0	Macrophages LYVE1	0.11546598600163123	True
linear_svm	0	Cycling cells	0.11522024575285163	True
linear_svm	0	T cells CD4 IL17A	0.1077324281192461	True
linear_svm	0	ILCs	0.10582088200701747	True
linear_svm	0	Macrophages PLA2G2D	0.10278200023567421	True
linear_svm	0	Myofibroblasts GREM1 GREM2	0.10018218723837449	True
linear_svm	0	T cells CD4 FOSB	0.09790296338572349	True
linear_svm	0	Enterocytes TMIGD1 MEP1A	0.09227048750067404	True
linear_svm	0	Enteroendocrine cells	0.0919493947138899	True
linear_svm	0	Endothelial cells LTC4S SEMA3G	0.09167793396582097	True
linear_svm	0	Activated fibroblasts CCL19 ADAMADEC1	0.08590755022188896	True
linear_svm	0	L cells	0.08098192898213392	True
linear_svm	0	IELs ID3 ENTPD1	0.07516805935206529	True
linear_svm	0	Mature DCs	0.0735477735971953	True
linear_svm	0	Tregs	0.0720063390489636	True
linear_svm	0	T cells OGT	0.06754432892791387	True
linear_svm	0	Lymphatics	0.06557362185896336	True
