model	fold	n_train	n_test	n_features	clr	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
logreg	0	56	15	68	True	0.6818181818181819	0.6130952380952381	0.6590909090909092	0.6590909090909092	0.012296676635742188
linear_svm	0	56	15	68	True	0.7045454545454546	0.6185897435897436	0.6590909090909092	0.6590909090909092	0.009464502334594727
xgb	0	56	15	68	True	0.8181818181818181	0.5666666666666667	0.5795454545454546	0.5833333333333334	0.10215353965759277
elasticnet	0	56	15	68	True	0.7045454545454545	0.6708333333333333	0.7045454545454546	0.7204968944099379	0.025836706161499023
catboost	0	56	15	68	True	0.8181818181818181	0.5902777777777778	0.7045454545454546	0.7204968944099379	0.31711316108703613
logreg	1	57	14	68	True	0.9090909090909091	0.6388888888888888	0.6212121212121212	0.6347826086956522	0.01085352897644043
linear_svm	1	57	14	68	True	0.7575757575757576	0.5916666666666666	0.6212121212121212	0.6347826086956522	0.009267330169677734
xgb	1	57	14	68	True	0.9090909090909091	0.7555555555555555	0.6666666666666666	0.7083333333333333	0.08130860328674316
elasticnet	1	57	14	68	True	0.9090909090909091	0.6388888888888888	0.6212121212121212	0.6347826086956522	0.03390049934387207
catboost	1	57	14	68	True	0.9090909090909091	0.8333333333333333	0.6666666666666666	0.7083333333333333	0.2613041400909424
logreg	2	57	14	68	True	0.7272727272727273	0.38333333333333336	0.696969696969697	0.65	0.011432886123657227
linear_svm	2	57	14	68	True	0.696969696969697	0.3595238095238095	0.696969696969697	0.65	0.011651992797851562
xgb	2	57	14	68	True	0.9090909090909091	0.8333333333333333	0.8333333333333333	0.8782608695652174	0.08341336250305176
elasticnet	2	57	14	68	True	0.8181818181818181	0.5	0.696969696969697	0.65	0.02803659439086914
catboost	2	57	14	68	True	0.8181818181818181	0.7777777777777777	0.6666666666666666	0.7083333333333333	0.2614402770996094
logreg	3	57	14	68	True	1.0	1.0	0.8333333333333333	0.8782608695652174	0.010596275329589844
linear_svm	3	57	14	68	True	0.9090909090909091	0.8333333333333333	0.6666666666666666	0.7083333333333333	0.0093994140625
xgb	3	57	14	68	True	0.7575757575757576	0.44285714285714284	0.6212121212121212	0.6347826086956522	0.04466438293457031
elasticnet	3	57	14	68	True	1.0	1.0	0.6666666666666666	0.7083333333333333	0.029775619506835938
catboost	3	57	14	68	True	0.8787878787878787	0.7	0.6212121212121212	0.6347826086956522	0.26473426818847656
logreg	4	57	14	68	True	0.775	0.7182539682539683	0.75	0.7878787878787878	0.013725757598876953
linear_svm	4	57	14	68	True	0.75	0.7048611111111112	0.75	0.7878787878787878	0.009751319885253906
xgb	4	57	14	68	True	0.725	0.475	0.6	0.5906432748538011	0.0771484375
elasticnet	4	57	14	68	True	0.75	0.7048611111111112	0.7	0.7142857142857142	0.031020641326904297
catboost	4	57	14	68	True	0.775	0.6527777777777778	0.575	0.5757575757575758	0.26738834381103516
