model	fold	n_train	n_test	n_features	clr	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
logreg	0	33	9	41	True	0.888888888888889	0.8666666666666667	0.6666666666666666	0.6493506493506493	0.011003255844116211
linear_svm	0	33	9	41	True	0.888888888888889	0.8666666666666667	0.6666666666666666	0.6493506493506493	0.01657700538635254
elasticnet	0	33	9	41	True	0.888888888888889	0.8666666666666667	0.75	0.75	0.028775930404663086
xgb	0	33	9	41	True	0.7777777777777779	0.7	0.5833333333333334	0.5846153846153846	0.07316064834594727
catboost	0	33	9	41	True	0.8333333333333333	0.8333333333333333	0.8333333333333333	0.8615384615384616	0.2701833248138428
logreg	1	33	9	41	True	0.9444444444444444	0.9166666666666665	0.75	0.75	0.10104799270629883
linear_svm	1	33	9	41	True	1.0	1.0	0.8333333333333333	0.8615384615384616	0.017301082611083984
elasticnet	1	33	9	41	True	0.8333333333333334	0.6388888888888888	0.75	0.75	0.030019283294677734
xgb	1	33	9	41	True	1.0	1.0	0.8333333333333333	0.8615384615384616	0.0712733268737793
catboost	1	33	9	41	True	1.0	1.0	0.9166666666666667	0.8831168831168831	0.3648674488067627
logreg	2	34	8	41	True	0.8333333333333334	0.75	0.75	0.7948717948717949	0.009765863418579102
linear_svm	2	34	8	41	True	0.8333333333333334	0.75	0.75	0.7948717948717949	0.008330821990966797
elasticnet	2	34	8	41	True	0.6666666666666667	0.6666666666666666	0.75	0.7948717948717949	0.016187667846679688
xgb	2	34	8	41	True	0.6666666666666667	0.6666666666666666	0.6666666666666667	0.6666666666666667	0.06149005889892578
catboost	2	34	8	41	True	0.6666666666666667	0.6666666666666666	0.75	0.7948717948717949	0.2733027935028076
logreg	3	34	8	41	True	0.9166666666666667	0.8333333333333333	0.9166666666666667	0.8545454545454545	0.23636841773986816
linear_svm	3	34	8	41	True	0.8333333333333334	0.75	0.6666666666666667	0.6666666666666667	0.017065763473510742
elasticnet	3	34	8	41	True	1.0	1.0	0.9166666666666667	0.8545454545454545	0.029266834259033203
xgb	3	34	8	41	True	0.5833333333333334	0.3666666666666667	0.4166666666666667	0.38461538461538464	0.024998903274536133
catboost	3	34	8	41	True	0.6666666666666667	0.41666666666666663	0.5	0.42857142857142855	0.2720329761505127
logreg	4	34	8	41	True	1.0	1.0	0.9166666666666667	0.8545454545454545	0.010015726089477539
linear_svm	4	34	8	41	True	1.0	1.0	0.9166666666666667	0.8545454545454545	0.008680582046508789
elasticnet	4	34	8	41	True	1.0	1.0	0.9166666666666667	0.8545454545454545	0.012612342834472656
xgb	4	34	8	41	True	1.0	1.0	0.9166666666666667	0.8545454545454545	0.026966571807861328
catboost	4	34	8	41	True	0.9166666666666667	0.8333333333333333	0.9166666666666667	0.8545454545454545	0.30756378173828125
