model	fold	feature	importance	clr
logreg	0	Monocytes S100A8 S100A9	1.0353914853838901	True
logreg	0	Endothelial cells DARC	0.9816435781811939	True
logreg	0	NK cells KLRF1 CD3G-	0.8338627130456592	True
logreg	0	Goblet cells SPINK4	0.7158573974060335	True
logreg	0	T cells CD8	0.6933323570952975	True
logreg	0	Enterocytes BEST4	0.6882985731118091	True
logreg	0	Tregs	0.6064111044277928	True
logreg	0	Epithelial cells METTL12 MAFB	0.5304914952189523	True
logreg	0	Fibroblasts SFRP2 SLPI	0.48976791706008965	True
logreg	0	Goblet cells MUC2 TFF1-	0.4850857190592473	True
logreg	0	Paneth cells	0.4780326162380036	True
logreg	0	Glial cells	0.4751619736334601	True
logreg	0	Macrophages LYVE1	0.46013969188732173	True
logreg	0	Goblet cells MUC2 TFF1	0.43016246149567416	True
logreg	0	B cells AICDA LRMP	0.41335921922208485	True
logreg	0	Endothelial cells CD36	0.4034936570817852	True
logreg	0	Stem cells OLFM4 PCNA	0.38735120219320224	True
logreg	0	Fibroblasts SMOC2 PTGIS	0.3800234624691046	True
logreg	0	DC2 CD1D-	0.3757719322344882	True
logreg	0	Plasma cells	0.3690537387077289	True
logreg	0	Cycling cells	0.36359421089682564	True
logreg	0	Myofibroblasts GREM1 GREM2	0.35650172731407603	True
logreg	0	T cells Naive CD4	0.3380604193486169	True
logreg	0	Stem cells OLFM4 LGR5	0.3006921810862333	True
logreg	0	Macrophages CCL3 CCL4	0.2933401310105991	True
logreg	0	T cells CD4 FOSB	0.2823047067889652	True
logreg	0	B cells	0.24586311697244798	True
logreg	0	IELs ID3 ENTPD1	0.24013725068415026	True
logreg	0	Enterocytes TMIGD1 MEP1A	0.21321901520124756	True
logreg	0	Fibroblasts KCNN3 LY6H	0.20868742511902955	True
logreg	0	DC2 CD1D	0.2084310322783628	True
logreg	0	Epithelial Cycling cells	0.20543610185781597	True
logreg	0	Myofibroblasts HHIP NPNT	0.20522318367593304	True
logreg	0	T cells CD8 KLRG1	0.1808401867376301	True
logreg	0	T cells CD4 IL17A	0.14050678541873357	True
logreg	0	Mast cells	0.1384681356091913	True
logreg	0	T cells OGT	0.1357837850100044	True
logreg	0	Fibroblasts ADAMDEC1	0.10629186348186818	True
logreg	0	Macrophages	0.05984562761292629	True
logreg	0	Stem cells OLFM4	0.05670541501618253	True
logreg	0	NK-like cells ID3 ENTPD1	0.0506903807083188	True
logreg	0	Stem cells OLFM4 GSTA1	0.03267909967122828	True
logreg	0	Enterocytes CA1 CA2 CA4-	0.016820556726469545	True
linear_svm	0	NK cells KLRF1 CD3G-	0.5806530018354576	True
linear_svm	0	Monocytes S100A8 S100A9	0.49844579980899895	True
linear_svm	0	Endothelial cells DARC	0.4820676683047387	True
linear_svm	0	T cells CD8	0.4502634030659649	True
linear_svm	0	Enterocytes BEST4	0.42259219542827253	True
linear_svm	0	Myofibroblasts GREM1 GREM2	0.38177326662446304	True
linear_svm	0	Goblet cells SPINK4	0.3663904486749322	True
linear_svm	0	Goblet cells MUC2 TFF1-	0.35999479099125475	True
linear_svm	0	Fibroblasts SFRP2 SLPI	0.3223039206049194	True
linear_svm	0	Glial cells	0.3119491792847941	True
linear_svm	0	Goblet cells MUC2 TFF1	0.2945930027641864	True
linear_svm	0	B cells AICDA LRMP	0.2935008800664096	True
linear_svm	0	Tregs	0.29098634447922656	True
linear_svm	0	Macrophages LYVE1	0.2814018666944574	True
linear_svm	0	Plasma cells	0.27959879987305736	True
linear_svm	0	Fibroblasts SMOC2 PTGIS	0.27560308137479383	True
linear_svm	0	T cells OGT	0.27299207622873034	True
linear_svm	0	Paneth cells	0.268101885443714	True
linear_svm	0	Cycling cells	0.2601133960061217	True
linear_svm	0	Epithelial cells METTL12 MAFB	0.24880579263943695	True
linear_svm	0	DC2 CD1D-	0.24525746521779376	True
linear_svm	0	Stem cells OLFM4 PCNA	0.24107093040336425	True
linear_svm	0	Enterocytes CA1 CA2 CA4-	0.23309389497312494	True
linear_svm	0	Stem cells OLFM4 LGR5	0.22186200020695268	True
linear_svm	0	Endothelial cells CD36	0.19548301749762115	True
linear_svm	0	IELs ID3 ENTPD1	0.17991903378844887	True
linear_svm	0	DC2 CD1D	0.17673276896693701	True
linear_svm	0	T cells Naive CD4	0.17091262193967674	True
linear_svm	0	Macrophages	0.14648258413402515	True
linear_svm	0	T cells CD8 KLRG1	0.1390174050407319	True
linear_svm	0	Macrophages CCL3 CCL4	0.1326267421120329	True
linear_svm	0	T cells CD4 FOSB	0.11888374307395438	True
linear_svm	0	Epithelial Cycling cells	0.10575958809278951	True
linear_svm	0	T cells CD4 IL17A	0.10243987414653788	True
linear_svm	0	Myofibroblasts HHIP NPNT	0.1023153642707865	True
linear_svm	0	Fibroblasts ADAMDEC1	0.06070846512354214	True
linear_svm	0	NK-like cells ID3 ENTPD1	0.05865961705361866	True
linear_svm	0	B cells	0.05584528011932388	True
linear_svm	0	Stem cells OLFM4 GSTA1	0.05465072428233575	True
linear_svm	0	Fibroblasts KCNN3 LY6H	0.03917506859201636	True
linear_svm	0	Mast cells	0.017147490937368837	True
linear_svm	0	Enterocytes TMIGD1 MEP1A	0.014852219159655861	True
linear_svm	0	Stem cells OLFM4	0.012206307468521693	True
elasticnet	0	Monocytes S100A8 S100A9	1.2080682840959538	True
elasticnet	0	Endothelial cells DARC	1.1244771625025323	True
