model	fold	n_train	n_test	n_features	clr	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
logreg	0	56	15	43	True	0.7272727272727272	0.675595238095238	0.8295454545454546	0.8295454545454546	0.012720584869384766
linear_svm	0	56	15	43	True	0.7272727272727272	0.675595238095238	0.7840909090909092	0.7619047619047619	0.009333610534667969
elasticnet	0	56	15	43	True	0.7499999999999999	0.6810897435897436	0.8295454545454546	0.8295454545454546	0.01640462875366211
xgb	0	56	15	43	True	0.7272727272727272	0.4444444444444444	0.4090909090909091	0.375	0.10489344596862793
catboost	0	56	15	43	True	0.7045454545454545	0.44325396825396823	0.45454545454545453	0.4	2.3961637020111084
logreg	1	57	14	43	True	0.8484848484848484	0.5333333333333333	0.45454545454545453	0.4166666666666667	0.010608434677124023
linear_svm	1	57	14	43	True	0.8484848484848484	0.5333333333333333	0.6212121212121212	0.6347826086956522	0.009289741516113281
elasticnet	1	57	14	43	True	0.8484848484848485	0.5555555555555556	0.45454545454545453	0.4166666666666667	0.016782760620117188
xgb	1	57	14	43	True	0.8181818181818182	0.6333333333333333	0.5	0.44	0.037377119064331055
catboost	1	57	14	43	True	0.7272727272727273	0.38333333333333336	0.5	0.44	0.38750600814819336
logreg	2	57	14	43	True	0.8181818181818181	0.5	0.696969696969697	0.65	0.05493497848510742
linear_svm	2	57	14	43	True	0.7878787878787878	0.4666666666666667	0.5757575757575758	0.5757575757575758	0.008937597274780273
elasticnet	2	57	14	43	True	0.8181818181818181	0.5317460317460317	0.696969696969697	0.65	0.016737937927246094
xgb	2	57	14	43	True	0.7575757575757576	0.5	0.7878787878787878	0.7878787878787878	0.07349085807800293
catboost	2	57	14	43	True	0.8484848484848484	0.6984126984126984	0.7878787878787878	0.7878787878787878	0.40536952018737793
logreg	3	57	14	43	True	1.0	1.0	0.8333333333333333	0.8782608695652174	0.01013326644897461
linear_svm	3	57	14	43	True	1.0	1.0	0.8333333333333333	0.8782608695652174	0.009075164794921875
elasticnet	3	57	14	43	True	1.0	1.0	0.8333333333333333	0.8782608695652174	0.015591144561767578
xgb	3	57	14	43	True	0.9696969696969697	0.9166666666666665	0.7878787878787878	0.7878787878787878	0.07433104515075684
catboost	3	57	14	43	True	0.8787878787878788	0.8095238095238095	0.6666666666666666	0.7083333333333333	0.33882737159729004
logreg	4	57	14	43	True	0.8	0.7321428571428572	0.7	0.7142857142857142	0.1089625358581543
linear_svm	4	57	14	43	True	0.8	0.7321428571428572	0.7	0.7142857142857142	0.009224176406860352
elasticnet	4	57	14	43	True	0.8	0.7321428571428572	0.65	0.65	0.01657843589782715
xgb	4	57	14	43	True	0.775	0.725	0.75	0.7878787878787878	0.03534865379333496
catboost	4	57	14	43	True	0.575	0.5685897435897436	0.625	0.6347826086956522	0.34188365936279297
