model	fold	feature	importance	clr
logreg	0	Monocytes S100A8 S100A9	1.0782141726035661	True
logreg	0	Epithelial Cycling cells	0.7695251197273695	True
logreg	0	Endothelial cells CD36	0.63316654063377	True
logreg	0	Stem cells OLFM4 PCNA	0.5454798304799561	True
logreg	0	T cells CD8	0.5059438069031589	True
logreg	0	Fibroblasts SMOC2 PTGIS	0.49979343533449566	True
logreg	0	Tregs	0.49028171558756206	True
logreg	0	Macrophages LYVE1	0.46530549590381315	True
logreg	0	Fibroblasts NPY SLITRK6	0.46400514902270695	True
logreg	0	T cells Naive CD4	0.3606433401551199	True
logreg	0	Plasma cells	0.34611605422841696	True
logreg	0	T cells CD8 KLRG1	0.2927036366391027	True
logreg	0	Enterocytes TMIGD1 MEP1A	0.29011887976209644	True
logreg	0	Mast cells	0.27242291686747827	True
logreg	0	Macrophages	0.24885122481139238	True
logreg	0	Fibroblasts ADAMDEC1	0.24326456001550442	True
logreg	0	Goblet cells MUC2 TFF1-	0.22699843340482678	True
logreg	0	Goblet cells MUC2 TFF1	0.22483256168240862	True
logreg	0	Macrophages CCL3 CCL4	0.20764356408746545	True
logreg	0	Stem cells OLFM4 LGR5	0.19627830468746552	True
logreg	0	Myofibroblasts HHIP NPNT	0.19371345579180532	True
logreg	0	B cells	0.18091467468588965	True
logreg	0	T cells CD4 IL17A	0.14204351587784547	True
logreg	0	NK-like cells ID3 ENTPD1	0.12264260599378442	True
logreg	0	DC2 CD1D	0.10090402567076845	True
logreg	0	Fibroblasts KCNN3 LY6H	0.09718822836895824	True
logreg	0	Enterocytes BEST4	0.0691320728729223	True
logreg	0	Glial cells	0.06293662801439376	True
logreg	0	Enterocytes CA1 CA2 CA4-	0.0574796313935284	True
logreg	0	Stem cells OLFM4	0.031108776172098052	True
logreg	0	Goblet cells SPINK4	0.03076835259665206	True
logreg	0	T cells CD4 FOSB	0.026550062616185113	True
linear_svm	0	Monocytes S100A8 S100A9	0.7672857671796263	True
linear_svm	0	Epithelial Cycling cells	0.543539636006443	True
linear_svm	0	T cells Naive CD4	0.4513315785628765	True
linear_svm	0	Endothelial cells CD36	0.4099000217964054	True
linear_svm	0	T cells CD8 KLRG1	0.39184128140265034	True
linear_svm	0	Macrophages LYVE1	0.38501336466984876	True
linear_svm	0	Enterocytes TMIGD1 MEP1A	0.37052877078217034	True
