model	fold	n_train	n_test	n_features	clr	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
logreg	0	27	7	32	True	0.7	0.5	0.5	0.4166666666666667	0.011228799819946289
linear_svm	0	27	7	32	True	0.8	0.75	0.5	0.4166666666666667	0.008617639541625977
elasticnet	0	27	7	32	True	0.8	0.75	0.5	0.4166666666666667	0.010757684707641602
xgb	0	27	7	32	True	0.8	0.75	0.5	0.4166666666666667	0.07767033576965332
catboost	0	27	7	32	True	0.9	0.8333333333333333	0.5	0.4166666666666667	0.33426690101623535
logreg	1	27	7	32	True	0.8	0.75	0.65	0.65	0.009900808334350586
linear_svm	1	27	7	32	True	0.8	0.75	0.65	0.65	0.00855708122253418
elasticnet	1	27	7	32	True	0.9	0.8333333333333333	0.65	0.65	0.010069847106933594
xgb	1	27	7	32	True	1.0	1.0	0.75	0.7878787878787878	0.05922436714172363
catboost	1	27	7	32	True	1.0	1.0	0.5	0.4166666666666667	0.282886266708374
logreg	2	27	7	32	True	0.9	0.8333333333333333	0.65	0.65	0.009320259094238281
linear_svm	2	27	7	32	True	0.8	0.75	0.75	0.7878787878787878	0.008104562759399414
elasticnet	2	27	7	32	True	0.9	0.8333333333333333	0.65	0.65	0.009503364562988281
xgb	2	27	7	32	True	1.0	1.0	0.8	0.7083333333333333	0.05882382392883301
catboost	2	27	7	32	True	0.9	0.8333333333333333	0.75	0.7878787878787878	0.27773165702819824
logreg	3	27	7	32	True	0.5	0.41666666666666663	0.5	0.4166666666666667	0.009612083435058594
linear_svm	3	27	7	32	True	0.5	0.41666666666666663	0.5	0.4166666666666667	0.008261442184448242
elasticnet	3	27	7	32	True	0.5	0.6428571428571428	0.75	0.7878787878787878	0.010503768920898438
xgb	3	27	7	32	True	0.3	0.30952380952380953	0.4	0.36363636363636365	0.05674576759338379
catboost	3	27	7	32	True	0.3	0.30952380952380953	0.4	0.36363636363636365	0.21731233596801758
logreg	4	28	6	32	True	1.0	1.0	1.0	1.0	0.009537220001220703
linear_svm	4	28	6	32	True	1.0	1.0	1.0	1.0	0.008108139038085938
elasticnet	4	28	6	32	True	1.0	1.0	1.0	1.0	0.009865283966064453
xgb	4	28	6	32	True	1.0	1.0	1.0	1.0	0.0588068962097168
catboost	4	28	6	32	True	1.0	1.0	0.5	0.45454545454545453	0.39438605308532715
