feature	importance	model	run_name
Glia	-0.6815600395202637	logreg	kong_cross_dataset_composition
Inflammatory Fibroblasts	0.5327248573303223	logreg	kong_cross_dataset_composition
Pericytes	0.5294250249862671	logreg	kong_cross_dataset_composition
Enteroendocrine	0.4395619034767151	logreg	kong_cross_dataset_composition
NKs	-0.41114526987075806	logreg	kong_cross_dataset_composition
MT-hi	-0.41025063395500183	logreg	kong_cross_dataset_composition
Cycling T	-0.37351131439208984	logreg	kong_cross_dataset_composition
Cycling Monocytes	-0.3382742404937744	logreg	kong_cross_dataset_composition
Tregs	0.32594844698905945	logreg	kong_cross_dataset_composition
Microvascular	-0.2954188883304596	logreg	kong_cross_dataset_composition
CD69+ Mast	0.26427122950553894	logreg	kong_cross_dataset_composition
Cycling B	-0.25338292121887207	logreg	kong_cross_dataset_composition
CD4+ PD1+	0.2449401468038559	logreg	kong_cross_dataset_composition
CD8+ IL17+	0.23900465667247772	logreg	kong_cross_dataset_composition
DC1	-0.23694270849227905	logreg	kong_cross_dataset_composition
Stem	0.2351902723312378	logreg	kong_cross_dataset_composition
Post-capillary Venules	0.22834859788417816	logreg	kong_cross_dataset_composition
M cells	0.22534236311912537	logreg	kong_cross_dataset_composition
GC	-0.21279694139957428	logreg	kong_cross_dataset_composition
Immature Enterocytes 1	-0.21033868193626404	logreg	kong_cross_dataset_composition
Myofibroblasts	0.20375533401966095	logreg	kong_cross_dataset_composition
Enterocytes	-0.19580982625484467	logreg	kong_cross_dataset_composition
CD8+ IELs	-0.17268091440200806	logreg	kong_cross_dataset_composition
Immature Goblet	0.1726006120443344	logreg	kong_cross_dataset_composition
Enterocyte Progenitors	-0.17032486200332642	logreg	kong_cross_dataset_composition
CD4+ Activated Fos-lo	-0.16553804278373718	logreg	kong_cross_dataset_composition
Follicular	0.15887336432933807	logreg	kong_cross_dataset_composition
CD4+ Memory	0.15786463022232056	logreg	kong_cross_dataset_composition
TA 2	0.15781688690185547	logreg	kong_cross_dataset_composition
WNT2B+ Fos-lo 1	-0.15378345549106598	logreg	kong_cross_dataset_composition
Tuft	-0.13773590326309204	logreg	kong_cross_dataset_composition
TA 1	0.12342027574777603	logreg	kong_cross_dataset_composition
Immature Enterocytes 2	-0.11360809206962585	logreg	kong_cross_dataset_composition
WNT2B+ Fos-hi	0.09825316816568375	logreg	kong_cross_dataset_composition
Endothelial	0.08333476632833481	logreg	kong_cross_dataset_composition
Best4+ Enterocytes	0.07476158440113068	logreg	kong_cross_dataset_composition
Macrophages	0.06884097307920456	logreg	kong_cross_dataset_composition
Cycling TA	-0.06003231927752495	logreg	kong_cross_dataset_composition
Inflammatory Monocytes	0.05691194161772728	logreg	kong_cross_dataset_composition
WNT5B+ 1	0.051595546305179596	logreg	kong_cross_dataset_composition
ILCs	-0.05039531737565994	logreg	kong_cross_dataset_composition
RSPO3+	-0.0448375903069973	logreg	kong_cross_dataset_composition
CD69- Mast	-0.024696437641978264	logreg	kong_cross_dataset_composition
Plasma	0.020530909299850464	logreg	kong_cross_dataset_composition
WNT2B+ Fos-lo 2	0.01899631693959236	logreg	kong_cross_dataset_composition
CD4+ Activated Fos-hi	0.01724165491759777	logreg	kong_cross_dataset_composition
Goblet	-0.0166477020829916	logreg	kong_cross_dataset_composition
Secretory TA	0.01476607657968998	logreg	kong_cross_dataset_composition
WNT5B+ 2	-0.009564158506691456	logreg	kong_cross_dataset_composition
DC2	-0.0042826640419662	logreg	kong_cross_dataset_composition
CD8+ LP	-0.0007577507640235126	logreg	kong_cross_dataset_composition
Glia	-0.3263851435674831	linear_svm	kong_cross_dataset_composition
NKs	-0.1865349148214587	linear_svm	kong_cross_dataset_composition
Pericytes	0.1834493232814284	linear_svm	kong_cross_dataset_composition
Inflammatory Fibroblasts	0.17481007437200702	linear_svm	kong_cross_dataset_composition
CD4+ PD1+	0.16969935036557304	linear_svm	kong_cross_dataset_composition
Cycling T	-0.15822179450849516	linear_svm	kong_cross_dataset_composition
MT-hi	-0.1435548883745996	linear_svm	kong_cross_dataset_composition
Enteroendocrine	0.1371425281387172	linear_svm	kong_cross_dataset_composition
Stem	0.13586058990333558	linear_svm	kong_cross_dataset_composition
Tregs	0.13210194499430514	linear_svm	kong_cross_dataset_composition
Cycling Monocytes	-0.1260662915946316	linear_svm	kong_cross_dataset_composition
Microvascular	-0.12447516185686891	linear_svm	kong_cross_dataset_composition
GC	-0.10889993509679716	linear_svm	kong_cross_dataset_composition
CD69+ Mast	0.10769398016017367	linear_svm	kong_cross_dataset_composition
Enterocyte Progenitors	-0.1060823536048108	linear_svm	kong_cross_dataset_composition
Post-capillary Venules	0.1024074183043774	linear_svm	kong_cross_dataset_composition
Enterocytes	-0.10004968426038183	linear_svm	kong_cross_dataset_composition
Cycling B	-0.08909843444176753	linear_svm	kong_cross_dataset_composition
Immature Enterocytes 1	-0.0851172321653737	linear_svm	kong_cross_dataset_composition
DC1	-0.08434497810904171	linear_svm	kong_cross_dataset_composition
Best4+ Enterocytes	0.08418527325654389	linear_svm	kong_cross_dataset_composition
Inflammatory Monocytes	0.07897229477601118	linear_svm	kong_cross_dataset_composition
WNT2B+ Fos-hi	0.07464144981232823	linear_svm	kong_cross_dataset_composition
TA 2	0.07247000153303262	linear_svm	kong_cross_dataset_composition
CD4+ Memory	0.0713663144611563	linear_svm	kong_cross_dataset_composition
Immature Enterocytes 2	-0.06943810929882031	linear_svm	kong_cross_dataset_composition
M cells	0.06901740318346884	linear_svm	kong_cross_dataset_composition
CD8+ IELs	-0.06620696845501753	linear_svm	kong_cross_dataset_composition
CD8+ IL17+	0.06578089734791005	linear_svm	kong_cross_dataset_composition
WNT2B+ Fos-lo 1	-0.05930647183806073	linear_svm	kong_cross_dataset_composition
Follicular	0.05905711533459168	linear_svm	kong_cross_dataset_composition
Myofibroblasts	0.05548174948992627	linear_svm	kong_cross_dataset_composition
CD4+ Activated Fos-lo	-0.054106899396047015	linear_svm	kong_cross_dataset_composition
WNT5B+ 1	0.05138343232810399	linear_svm	kong_cross_dataset_composition
