run_name	model	fold	n_train	n_test	n_features_selected	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
donor_scvi_full_latent	logreg	0	24	6	20	0.7777777777777778	0.8666666666666667	0.6666666666666666	0.6666666666666666	0.011121273040771484
donor_scvi_full_latent	linear_svm	0	24	6	20	0.888888888888889	0.9166666666666665	0.6666666666666666	0.6666666666666666	0.00859379768371582
donor_scvi_full_latent	xgb	0	24	6	20	1.0	1.0	1.0	1.0	0.5613181591033936
donor_scvi_full_latent	logreg	1	24	6	20	1.0	1.0	0.8333333333333333	0.8285714285714285	0.010155439376831055
donor_scvi_full_latent	linear_svm	1	24	6	20	0.888888888888889	0.9166666666666665	0.5	0.3333333333333333	0.008744239807128906
donor_scvi_full_latent	xgb	1	24	6	20	1.0	1.0	0.8333333333333333	0.8285714285714285	0.023271560668945312
donor_scvi_full_latent	logreg	2	24	6	20	0.25	0.6083333333333333	0.25	0.14285714285714285	0.009560585021972656
donor_scvi_full_latent	linear_svm	2	24	6	20	0.375	0.6458333333333333	0.25	0.14285714285714285	0.008098840713500977
donor_scvi_full_latent	xgb	2	24	6	20	0.125	0.5666666666666667	0.25	0.14285714285714285	0.020862579345703125
donor_scvi_full_latent	logreg	3	24	6	20	1.0	1.0	1.0	1.0	0.009592056274414062
donor_scvi_full_latent	linear_svm	3	24	6	20	1.0	1.0	0.75	0.7777777777777777	0.00845193862915039
donor_scvi_full_latent	xgb	3	24	6	20	1.0	1.0	0.75	0.7777777777777777	0.023143291473388672
donor_scvi_full_latent	logreg	4	24	6	20	0.5	0.7708333333333333	0.375	0.3333333333333333	0.009602546691894531
donor_scvi_full_latent	linear_svm	4	24	6	20	0.375	0.7333333333333333	0.25	0.25	0.00836801528930664
donor_scvi_full_latent	xgb	4	24	6	20	0.5	0.7708333333333333	0.625	0.625	0.02271437644958496
